# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
video classification	video-classification	49	214
denoising	denoising	49	67
relu	relu	48	3
personal benchmark published	personal-benchmark-published	48	0
urban planning	urban-planning	48	282
hockey	ice-hockey	47	946
crowdfunding	crowdfunding	47	49
multilingual	multilingual	46	143
human rights	human-rights-and-liberties	46	215
yolov5	yolov5	45	93
middle east	middle-east	44	283
doParallel	doParallel	43	25
mit	mit	43	5
t5	t5	41	12
scaled dot-product attention	scaled-dot-product-attention	40	9
chinese (taiwan)	chinese-taiwan	39	41
image feature vector	image-feature-vector	39	42
leaflet	leaflet	38	8
resnet v1 50	resnet-v1-50	38	2
audio synthesis	audio-synthesis	38	74
running	running	37	118
gridExtra	gridExtra	36	5
aesthetic quality	aesthetic-quality	36	43
softmax	softmax	35	2
mexico	mexico	34	155
efficientnet-b3	efficientnet-b3	34	7
oceania	oceania	34	59
image style transfer	image-style-transfer	34	50
hmm	hmm	33	8
1x1 convolution	1x1-convolution	33	11
multitask classification	multitask-classification	32	39
pathlib	pathlib	32	3
korean	korean	32	56
d3js	d3js	31	12
audio-to-audio	audio-to-audio	31	35
mobilenet	mobilenet	31	8
tennis	tennis	31	97
ggthemes	ggthemes	30	7
rail transport	rail-transport	30	892
kazakh	kazakh	30	20
international relations	international-relations	29	232
make-up and cosmetics	make-up-and-cosmetics	29	667
mlp-mixer	mlp-mixer	28	8
attention dropout	attention-dropout	28	18
audio event classification	audio-event-classification	28	67
text segmentation	text-segmentation	28	49
racial equity	racial-equality	27	56
deberta-v3	deberta-v3	27	9
efficientnet v2	efficientnet-v2	27	8
mobilenet v3	mobilenet-v3	27	5
image text detection	image-text-detection	27	101
glob	glob	27	4
hindi	hindi	25	143
zero-shot text classification	zero-shot-text-classification	25	26
ukrainian	ukrainian	24	80
bart	bart	24	6
dropout	dropout	24	9
